"ID","age","workclass","fnlwgt","education","education_cat","marital_status","occupation","relationship","race","gender","capital_gain","capital_loss","hour_per_week","native_country","class"
"9364",38," Private",197077," HS-grad",9," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"25668",31," Private",101761," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,51," United-States"," <=50K"
"13316",26," Private",152855," HS-grad",9," Never-married"," Exec-managerial"," Own-child"," Other"," Female",0,0,40," Mexico"," <=50K"
"28750",50," Self-emp-not-inc",99894," 5th-6th",3," Never-married"," Tech-support"," Not-in-family"," Asian-Pac-Islander"," Female",0,0,15," United-States"," <=50K"
"30619",35," Private",412379," HS-grad",9," Never-married"," Other-service"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
"1484",26," Private",256263," HS-grad",9," Never-married"," Craft-repair"," Not-in-family"," White"," Male",0,0,25," United-States"," <=50K"
"17193",18," Private",95917," HS-grad",9," Never-married"," Other-service"," Own-child"," White"," Male",0,0,25," Canada"," <=50K"
"29052",20," Private",122971," Some-college",10," Never-married"," Sales"," Own-child"," White"," Male",0,0,35," United-States"," <=50K"
"17951",57," Self-emp-inc",368797," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"14864",38," Private",194538," Assoc-voc",11," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,48," United-States"," >50K"
"31146",28," Private",194200," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,70," United-States"," <=50K"
"14757",82," Private",132870," HS-grad",9," Widowed"," Exec-managerial"," Not-in-family"," White"," Female",0,4356,18," United-States"," <=50K"
"22055",22," Private",333158," HS-grad",9," Never-married"," Machine-op-inspct"," Not-in-family"," White"," Female",0,0,48," United-States"," <=50K"
"18639",36," Private",469056," HS-grad",9," Divorced"," Sales"," Unmarried"," Black"," Female",0,0,25," United-States"," <=50K"
"3350",36," Private",166988," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",0,0,40," United-States"," >50K"
"29286",66," Private",113323," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",20051,0,40," United-States"," >50K"
"8009",20," Private",138107," HS-grad",9," Never-married"," Handlers-cleaners"," Own-child"," Black"," Male",0,0,35," United-States"," <=50K"
"1369",52," Private",152234," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," Asian-Pac-Islander"," Male",99999,0,40," Japan"," >50K"
"10672",17," Private",33138," 12th",8," Never-married"," Sales"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
"31062",22," ?",243190," Some-college",10," Never-married"," ?"," Own-child"," Asian-Pac-Islander"," Male",0,0,40," China"," <=50K"
"28947",56," Private",282023," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States"," >50K"
"22544",28," Local-gov",168524," Masters",14," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",7688,0,35," United-States"," >50K"
"20842",51," Private",29887," HS-grad",9," Divorced"," Exec-managerial"," Not-in-family"," White"," Male",0,0,44," United-States"," <=50K"
"32352",60," Private",36077," 7th-8th",4," Married-spouse-absent"," Machine-op-inspct"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
"21335",27," Private",83517," HS-grad",9," Never-married"," Transport-moving"," Own-child"," White"," Male",0,0,60," United-States"," <=50K"
"23053",68," Private",170376," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," >50K"
"17702",28," Private",223751," Some-college",10," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States"," >50K"
"19330",33," Private",58582," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"9408",42," Private",175935," HS-grad",9," Divorced"," Transport-moving"," Not-in-family"," White"," Male",0,1980,46," United-States"," <=50K"
"4786",25," Private",228608," Some-college",10," Never-married"," Craft-repair"," Other-relative"," Asian-Pac-Islander"," Female",0,0,40," Cambodia"," <=50K"
"31329",31," Private",59083," HS-grad",9," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,35," United-States"," <=50K"
"29352",69," Self-emp-not-inc",185039," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",9386,0,12," United-States"," >50K"
"22468",48," Private",166809," Bachelors",13," Married-spouse-absent"," Exec-managerial"," Not-in-family"," White"," Female",0,0,50," United-States"," >50K"
"25875",38," Self-emp-not-inc",342635," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,70," United-States"," <=50K"
"801",43," Private",154538," Assoc-acdm",12," Divorced"," Craft-repair"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
"15541",50," Self-emp-not-inc",192654," 10th",6," Never-married"," Craft-repair"," Not-in-family"," White"," Male",0,0,25," United-States"," <=50K"
"24669",36," Local-gov",331902," Some-college",10," Divorced"," Adm-clerical"," Unmarried"," White"," Female",0,0,35," United-States"," <=50K"
"7039",19," Private",206874," Assoc-voc",11," Never-married"," Adm-clerical"," Own-child"," Black"," Female",0,0,40," United-States"," <=50K"
"10349",26," Private",190330," Bachelors",13," Never-married"," Other-service"," Not-in-family"," White"," Male",0,0,30," United-States"," <=50K"
"7533",39," Local-gov",287031," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,45," United-States"," >50K"
"4644",59," Private",381851," 9th",5," Widowed"," Other-service"," Unmarried"," Black"," Female",0,0,40," United-States"," <=50K"
"13482",21," State-gov",173324," Some-college",10," Never-married"," Other-service"," Own-child"," Black"," Male",0,0,20," United-States"," <=50K"
"13454",25," Private",172581," Bachelors",13," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
"11995",40," Private",92717," HS-grad",9," Never-married"," Other-service"," Unmarried"," Black"," Female",0,0,40," United-States"," <=50K"
"4958",25," Private",108779," Masters",14," Separated"," Other-service"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"
"4514",21," Private",191243," Some-college",10," Never-married"," Other-service"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
"7578",25," Private",53903," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"15151",29," Private",213842," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"8648",25," Private",282612," Assoc-voc",11," Never-married"," Tech-support"," Unmarried"," Black"," Female",0,0,40," United-States"," <=50K"
"27890",17," Private",56536," 11th",7," Never-married"," Sales"," Own-child"," White"," Female",1055,0,18," India"," <=50K"
"1491",32," Private",402812," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,48," United-States"," <=50K"
"14376",25," Federal-gov",366207," HS-grad",9," Never-married"," Transport-moving"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
"25973",26," Private",100147," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",0,0,45," United-States"," >50K"
"3963",30," Private",207253," Assoc-voc",11," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," England"," <=50K"
"18235",53," Self-emp-not-inc",33304," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,38," United-States"," >50K"
"6714",48," Private",205424," Bachelors",13," Divorced"," Sales"," Unmarried"," White"," Male",0,0,40," United-States"," >50K"
"4146",36," Private",95654," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",0,0,50," Iran"," >50K"
"24486",63," ?",310396," 9th",5," Married-civ-spouse"," ?"," Husband"," White"," Male",5178,0,40," United-States"," >50K"
"29092",29," Private",214702," HS-grad",9," Never-married"," Craft-repair"," Not-in-family"," White"," Male",0,1974,35," United-States"," <=50K"
"12171",19," Private",258633," Some-college",10," Never-married"," Other-service"," Not-in-family"," White"," Female",0,0,30," United-States"," <=50K"
"21617",55," Private",129762," HS-grad",9," Divorced"," Adm-clerical"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
"3083",74," Self-emp-inc",162340," Some-college",10," Widowed"," Exec-managerial"," Unmarried"," White"," Male",0,0,40," United-States"," <=50K"
"12479",41," State-gov",70884," HS-grad",9," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"8917",24," Private",146706," Some-college",10," Never-married"," Other-service"," Not-in-family"," White"," Female",0,0,30," United-States"," <=50K"
"26474",34," Self-emp-not-inc",349148," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"14575",68," ?",191288," 7th-8th",4," Widowed"," ?"," Not-in-family"," White"," Female",0,0,15," United-States"," <=50K"
"26324",60," Self-emp-not-inc",106118," HS-grad",9," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,70," United-States"," >50K"
"26398",25," Private",113654," HS-grad",9," Separated"," Exec-managerial"," Unmarried"," White"," Female",0,0,37," United-States"," <=50K"
